mercado;presentacion IQVIA;unidades MAT;fila lista de precios;envase;packs;PSL aplicado;PSL/unidad;estado
Alidial;ALERGICAL GOTAS 5.00MG 20ML x 1;3332;ALIDIAL;20;1;5980.3;299.01;REVISAR: otra marca
Alidial;ALIDIAL L TABL RECUBIE 5.00MG x 30;2821;ALIDIAL L;30;1;14695.02;489.83;ok
Alidial;ALIDIAL L TABL RECUBIE 5.00MG x 10;1994;ALIDIAL L;10;1;5754.56;575.46;ok
Alidial;ALERGICAL TABL RECUBIE 5.00MG x 30;1037;ALIDIAL;30;1;10842.45;361.42;REVISAR: otra marca
Alidial;ALERGICAL TABL RECUBIE 5.00MG x 10;1027;ALIDIAL;10;1;5866.92;586.69;REVISAR: otra marca
Bactrim;BACTRIM FORTE TABL 800MG x 10 /160;974153;BACTRIM FORTE 800-160;10;1;13331.86;1333.19;ok
Bactrim;BACTRIM TABL 400MG x 20 /80;129094;BACTRIM 400-80 comp;20;1;9994.43;499.72;ok
Bactrim;BACTRIM JARABE JBE 200/40 200MG 100ML x 1;127526;BACTRIM 200-40;;1;10444.72;;ok
Bactrim;BACTRIM A.IV 400MG 5ML x 5 /80;618;BACTRIM 400-80/5ml;5;1;21125.4;4225.08;ok
Calcio Base;CALCIO BASE TABL 500MG x 30;135855;CALCIO BASE DUPOMAR;30;1;7612.87;253.76;ok
Calcio Base;CALCIO BASE TABL MAST 500MG x 60;130078;CALCIO BASE DUPOMAR;60;1;12925.25;215.42;ok
Calcio Base;CALCIO BASE D3 TABL MAST 400MG x 30;34865;CALCIO BASE DUPOMAR D3 200;30;1;6863.49;228.78;ok
Calcio Base;CALCIO BASE D3 TABL MAST 400MG x 60;23796;CALCIO BASE DUPOMAR D3 200;60;1;11051.44;184.19;ok
Calcio Base;CALCIO BASE D TABL MAST 500MG x 30 /440;12417;CALCIO BASE DUPOMAR D;30;1;6695.29;223.18;ok
Calcio Base;CALCIO BASE D3 TABL MAST 200MG x 30;11202;CALCIO BASE DUPOMAR D3 200;30;1;6863.49;228.78;ok
Calcio Base;CALCIO BASE D TABL 500MG x 60 /440;10639;CALCIO BASE DUPOMAR D;60;1;11291.6;188.19;ok
Calcio Base;CALCIO BASE D3 TABL MAST 200MG x 60;6961;CALCIO BASE DUPOMAR D3 200;60;1;11051.44;184.19;ok
Calcio Base;CALCIO CIT DUPO D3 TABL MAST 1500MG x 30 /400;4726;CALCIO BASE DUPOMAR D3 400;30;1;8452.16;281.74;ok
Calcio Base;CALCIO CIT DUPO D3 TABL MAST 1500MG x 60 /400;2385;CALCIO BASE DUPOMAR D3 400;60;1;12605.25;210.09;ok
